enter_date,enter_time,exit_date,exit_time,direction,enter_price,exit_price,close_reason,quantity,pnl
1/2/2022,18:00:00,1/3/2022,1:36:00,long,17801.75,17839.75,MDL,1,757.5
1/3/2022,1:37:00,1/3/2022,8:34:00,short,17834.75,17870.25,MDL,1,-712.5
1/3/2022,8:35:00,1/3/2022,8:40:00,long,17865.25,17865.75,MDL,1,7.5
1/3/2022,8:41:00,1/3/2022,9:31:00,short,17862.75,17851.5,MDL,1,222.5
1/3/2022,9:32:00,1/3/2022,9:45:00,long,17873.25,17890.25,MDL,1,337.5
1/3/2022,9:46:00,1/3/2022,9:49:00,short,17872.25,17790.33,TP,1,1635.9
1/3/2022,21:07:00,1/4/2022,3:36:00,long,17934.25,17954.5,MDL,1,402.5
1/4/2022,3:37:00,1/4/2022,5:03:00,short,17949,17969,MDL,1,-402.5
1/4/2022,5:04:00,1/4/2022,7:24:00,long,17970.25,17970.75,MDL,1,7.5
1/4/2022,7:25:00,1/4/2022,10:02:00,short,17961.75,17871.63,TP,1,1799.9
1/4/2022,11:35:00,1/4/2022,11:58:00,long,17656.75,17655,MDL,1,-37.5
1/4/2022,11:59:00,1/4/2022,14:32:00,short,17648.5,17636.75,MDL,1,232.5
1/4/2022,14:33:00,1/4/2022,15:50:00,long,17651.75,17769.07,TP,1,2343.9
1/4/2022,18:00:00,1/5/2022,2:47:00,short,17710.75,17663.25,MDL,1,947.5
1/5/2022,3:05:00,1/5/2022,6:07:00,long,17655.25,17660,MDL,1,92.5
1/5/2022,6:08:00,1/5/2022,9:35:00,short,17656.25,17550,TP,1,2122.5
1/5/2022,18:33:00,1/5/2022,22:12:00,long,17223,17200.75,MDL,1,-447.5
1/5/2022,22:13:00,1/6/2022,2:01:00,short,17195,17130,MDL,1,1297.5
1/6/2022,2:02:00,1/6/2022,3:24:00,long,17137.25,17163.5,MDL,1,522.5
1/6/2022,3:25:00,1/6/2022,4:02:00,short,17158,17186.5,MDL,1,-572.5
1/6/2022,4:03:00,1/6/2022,6:24:00,long,17184.75,17147.75,MDL,1,-742.5
1/6/2022,6:25:00,1/6/2022,9:21:00,short,17145,17165,MDL,1,-402.5
1/6/2022,9:22:00,1/6/2022,9:49:00,long,17172.5,17240.75,MDL,1,1362.5
1/6/2022,9:50:00,1/6/2022,10:06:00,short,17217.5,17068,TP,1,2987.5
1/6/2022,18:00:00,1/6/2022,23:21:00,long,17247.5,17230.75,MDL,1,-337.5
1/6/2022,23:46:00,1/7/2022,4:21:00,short,17236.5,17180.5,MDL,1,1117.5
1/7/2022,4:22:00,1/7/2022,8:32:00,long,17181,17201.5,MDL,1,407.5
1/7/2022,8:33:00,1/7/2022,9:02:00,short,17189.25,17143.75,MDL,1,907.5
1/7/2022,9:03:00,1/7/2022,9:36:00,long,17151.25,17143.25,MDL,1,-162.5
1/7/2022,9:37:00,1/7/2022,9:40:00,short,17128.75,17173.75,MDL,1,-902.5
1/7/2022,9:41:00,1/7/2022,10:04:00,long,17195.75,17215.25,MDL,1,387.5
1/7/2022,10:05:00,1/7/2022,10:47:00,short,17191.25,17015.34,TP,1,3515.7
1/9/2022,18:04:00,1/9/2022,22:01:00,short,17049.75,17050,MDL,1,-7.5
1/9/2022,22:02:00,1/10/2022,3:15:00,long,17046.5,17046.75,MDL,1,2.5
1/10/2022,3:16:00,1/10/2022,4:44:00,short,17039.75,17044.25,MDL,1,-92.5
1/10/2022,4:45:00,1/10/2022,7:08:00,long,17050.5,16978.25,MDL,1,-1447.5
1/10/2022,8:44:00,1/10/2022,10:02:00,short,16856.25,16676.36,TP,1,3595.3
1/10/2022,11:42:00,1/10/2022,12:09:00,long,16711,16695,MDL,1,-322.5
1/10/2022,12:10:00,1/10/2022,12:52:00,short,16671.75,16697.25,MDL,1,-512.5
1/10/2022,12:53:00,1/10/2022,14:34:00,long,16742.75,16938.19,TP,1,3906.3
1/11/2022,1:10:00,1/11/2022,7:58:00,long,17038.25,17100.5,MDL,1,1242.5
1/11/2022,7:59:00,1/11/2022,9:51:00,short,17094,16971,MDL,1,2457.5
1/11/2022,9:52:00,1/11/2022,10:34:00,long,17013.75,17036,MDL,1,442.5
1/11/2022,10:35:00,1/11/2022,11:02:00,short,17004.25,17018.5,MDL,1,-287.5
1/11/2022,11:03:00,1/11/2022,11:38:00,long,17034,17221.8,TP,1,3753.5
1/12/2022,3:21:00,1/12/2022,3:25:00,long,17293,17282.75,MDL,1,-207.5
1/12/2022,3:26:00,1/12/2022,4:29:00,short,17266.5,17280.5,MDL,1,-282.5
1/12/2022,4:30:00,1/12/2022,9:41:00,long,17283.75,17376.5,MDL,1,1852.5
1/12/2022,9:42:00,1/12/2022,9:59:00,short,17350.75,17403,MDL,1,-1047.5
1/12/2022,10:00:00,1/12/2022,10:32:00,long,17412.75,17381,MDL,1,-637.5
1/12/2022,10:33:00,1/12/2022,11:31:00,short,17373.5,17323,MDL,1,1007.5
1/12/2022,11:32:00,1/12/2022,14:02:00,long,17331,17326.25,MDL,1,-97.5
1/12/2022,14:03:00,1/12/2022,15:59:00,short,17315,17336,EOD,1,-422.5
1/12/2022,18:00:00,1/13/2022,3:16:00,short,17346.75,17324.75,MDL,1,437.5
1/13/2022,3:18:00,1/13/2022,10:05:00,long,17328.75,17352,MDL,1,462.5
1/13/2022,10:06:00,1/13/2022,10:50:00,short,17348.25,17207.27,TP,1,2817.1
1/13/2022,19:20:00,1/13/2022,23:12:00,short,16944.5,16929,MDL,1,307.5
1/14/2022,2:41:00,1/14/2022,3:04:00,long,16959.25,16941.75,MDL,1,-352.5
1/14/2022,3:06:00,1/14/2022,7:59:00,short,16930.25,16769.06,TP,1,3221.3
1/14/2022,8:30:00,1/14/2022,9:40:00,long,16809,16974.45,TP,1,3306.5
1/16/2022,19:31:00,1/16/2022,19:39:00,long,17011.5,17011.5,MDL,1,-2.5
1/16/2022,19:41:00,1/17/2022,6:40:00,short,17006.5,17048.75,MDL,1,-847.5
1/17/2022,6:53:00,1/17/2022,10:13:00,long,17059.75,17034.5,MDL,1,-507.5
1/17/2022,10:14:00,1/17/2022,12:59:00,short,17037.75,17001,S-EOD,1,732.5
1/17/2022,18:02:00,1/17/2022,23:19:00,short,17020.5,16873.03,TP,1,2946.9
1/18/2022,1:31:00,1/18/2022,4:17:00,short,16895,16750.56,TP,1,2886.3
1/18/2022,18:00:00,1/18/2022,23:59:00,short,16684.5,16516.77,TP,1,3352.1
1/19/2022,1:11:00,1/19/2022,4:42:00,short,16548.75,16677.73,SL,1,-2582.1
1/19/2022,10:27:00,1/19/2022,11:14:00,short,16745.25,16580.4,TP,1,3294.5
1/19/2022,11:53:00,1/19/2022,14:03:00,long,16613.5,16695.75,MDL,1,1642.5
1/19/2022,20:03:00,1/19/2022,21:17:00,short,16510,16516.25,MDL,1,-127.5
1/19/2022,21:22:00,1/20/2022,3:21:00,long,16517,16536.5,MDL,1,387.5
1/20/2022,3:22:00,1/20/2022,4:34:00,short,16526.25,16574.75,MDL,1,-972.5
1/20/2022,4:35:00,1/20/2022,10:32:00,long,16578.75,16756.09,TP,1,3544.3
1/20/2022,11:42:00,1/20/2022,14:42:00,short,16720.75,16542.42,TP,1,3564.1
1/20/2022,18:06:00,1/20/2022,20:31:00,long,16188.75,16169,MDL,1,-397.5
1/20/2022,20:32:00,1/21/2022,1:11:00,short,16166,16130.5,MDL,1,707.5
